locationID,georeferenceVerificationStatus,georeferencedBy,georeferencedDate,georeferenceRemarks,geodeticDatum,georeferenceProtocol,georeferenceSources,decimalLongitude,decimalLatitude,coordinateUncertaintyInMeters,correctedUncertaintyRadiusCircularPolygonWKT,correctedUncertaintyPolygonWKT,dateImported
38,corrected,nafamoso,2016-11-19 23:40:41,,,,,-124.068311,44.767401,997,,,2021-04-22 12:37:03
39,corrected,nafamoso,2016-11-20 00:01:57,,,,,-124.0644,44.636476,1102,,,2021-04-22 12:37:03
40,corrected,nafamoso,2016-11-19 23:59:31,,,,,-124.0476,44.622378,3272,,,2021-04-22 12:37:03
41,corrected,nafamoso,2016-11-19 23:57:56,,,,,-124.029213,44.613734,2284,,,2021-04-22 12:37:03
42,corrected,nafamoso,2016-11-19 23:41:34,,,,,-123.957752,44.590522,1911,,,2021-04-22 12:37:03
76,verified by curator,Austin Hendy,2019-12-12 00:00:00,,WGS84,LACMIP georeferencing 2019,LACMIP (hand)|Google Earth,-120.5705,34.9141,1000,,,2021-04-22 12:37:03
77,verified by curator,Austin Hendy,2019-12-12 00:00:00,,WGS84,LACMIP georeferencing 2019,LACMIP (hand)|Google Earth,-120.5141,34.8762,250,,,2021-04-22 12:37:03
78,low precisison,,NULL,Based on SANTA MARIA,WGS84,GeoLocate,LACMIP (batch)|GeoLocate (batch),-120.43572,34.95303,NULL,,,2021-04-22 12:37:03
80,low precisison,,NULL,Based on LOMPOC,WGS84,GeoLocate,LACMIP (batch)|GeoLocate (batch),-120.45794,34.63915,NULL,,,2021-04-22 12:37:03
81,low precisison,,NULL,Based on SUDDEN,WGS84,GeoLocate,LACMIP (batch)|GeoLocate (batch),-120.53989,34.53999,NULL,,,2021-04-22 12:37:03
82,low precisison,,NULL,Based on (g1)SANTA BARBARA,WGS84,GeoLocate,LACMIP (batch)|GeoLocate (batch),-119.66667,34.51667,NULL,,,2021-04-22 12:37:03
83,low precisison,,NULL,Based on (g1)SANTA BARBARA,WGS84,GeoLocate,LACMIP (batch)|GeoLocate (batch),-119.66667,34.51667,NULL,,,2021-04-22 12:37:03
84,low precisison,,NULL,Based on VENTURA,WGS84,GeoLocate,LACMIP (batch)|GeoLocate (batch),-119.29317,34.27834,NULL,,,2021-04-22 12:37:03
85,low precisison,,NULL,Based on (g1)Santa Paula Creek->snapped to Santa Paula Creek,WGS84,GeoLocate,LACMIP (batch)|GeoLocate (batch),-119.0831,34.42184,NULL,,,2021-04-22 12:37:03
86,low precisison,,NULL,,WGS84,Google API,LACMIP (batch)|Google (batch),-118.98121,34.43916,NULL,,,2021-04-22 12:37:03
87,low precisison,,NULL,Based on SESPE,WGS84,GeoLocate,LACMIP (batch)|GeoLocate (batch),-118.95038,34.4,NULL,,,2021-04-22 12:37:03
88,low precisison,,NULL,Based on HOLSER CANYON,WGS84,GeoLocate,LACMIP (batch)|GeoLocate (batch),-118.7562,34.44111,NULL,,,2021-04-22 12:37:03
89,low precisison,,NULL,Based on TORREY CANYON,WGS84,GeoLocate,LACMIP (batch)|GeoLocate (batch),-118.79704,34.38916,NULL,,,2021-04-22 12:37:03
90,low precisison,,NULL,Based on TORREY CANYON,WGS84,GeoLocate,LACMIP (batch)|GeoLocate (batch),-118.79704,34.38916,NULL,,,2021-04-22 12:37:03
91,low precisison,,NULL,Based on SAN PEDRO,WGS84,GeoLocate,LACMIP (batch)|GeoLocate (batch),-118.29229,33.73585,NULL,,,2021-04-22 12:37:03
92,low precisison,,NULL,Based on (g1)San Pedro,WGS84,GeoLocate,LACMIP (batch)|GeoLocate (batch),-118.291,33.735,NULL,,,2021-04-22 12:37:03
93,low precisison,,NULL,Based on (g1)San Pedro,WGS84,GeoLocate,LACMIP (batch)|GeoLocate (batch),-118.291,33.735,NULL,,,2021-04-22 12:37:03
94,low precisison,,NULL,Based on (g1)San Pedro,WGS84,GeoLocate,LACMIP (batch)|GeoLocate (batch),-118.291,33.735,NULL,,,2021-04-22 12:37:03
95,low precisison,,NULL,Based on (g1)San Pedro,WGS84,GeoLocate,LACMIP (batch)|GeoLocate (batch),-118.291,33.735,NULL,,,2021-04-22 12:37:03
96,low precisison,,NULL,Based on (g1)San Pedro,WGS84,GeoLocate,LACMIP (batch)|GeoLocate (batch),-118.291,33.735,NULL,,,2021-04-22 12:37:03
97,low precisison,,NULL,Based on (g1)San Pedro,WGS84,GeoLocate,LACMIP (batch)|GeoLocate (batch),-118.291,33.735,NULL,,,2021-04-22 12:37:03
98,low precisison,,NULL,Based on (g1)Palos Verdes,WGS84,GeoLocate,LACMIP (batch)|GeoLocate (batch),-118.37056,33.77361,NULL,,,2021-04-22 12:37:03
99,low precisison,,NULL,Based on (g1)San Pedro,WGS84,GeoLocate,LACMIP (batch)|GeoLocate (batch),-118.291,33.735,NULL,,,2021-04-22 12:37:03
100,low precisison,,NULL,Based on TRABUCO CANYON,WGS84,GeoLocate,LACMIP (batch)|GeoLocate (batch),-117.59033,33.66252,NULL,,,2021-04-22 12:37:03
116,,Anne Zavala,2016-07-28 00:00:00,,WGS84,GeoLocate,"GeoLocate, Locality Description",-124.391751,40.471507,200,,,2021-04-22 12:37:03
119,,Anne Zavala,2016-07-28 00:00:00,,WGS84,GeoLocate,"GeoLocate, Locality Description",-124.087835,40.500446,100,,,2021-04-22 12:37:03
120,,Anne Zavala,2016-07-28 00:00:00,Large uncertainty due to vauge desciption,WGS84,GeoLocate,"GeoLocate, Locality Description",-123.976354,40.445262,500,,,2021-04-22 12:37:03
121,,Anne Zavala,2016-07-28 00:00:00,Large uncertainty due to vauge desciption,WGS84,GeoLocate,"GeoLocate, Locality Description",-123.959552,40.413381,500,,,2021-04-22 12:37:03
124,,Anne Zavala,2016-07-28 00:00:00,,WGS84,GeoLocate,"GeoLocate, Locality Description",-124.110895,41.021789,200,,,2021-04-22 12:37:03
151,corrected,nafamoso,2016-12-23 21:10:32,,,,,-123.296764,44.314012,1133,,,2021-04-22 12:37:03
160,corrected,Viekson,2016-11-13 14:06:51,,,,,-123.338554,45.68911,975,,,2021-04-22 12:37:03
161,corrected,nafamoso,2016-12-18 20:21:58,TRS is not 1 mile south of Mist,,,,-123.252724,45.986296,969,,,2021-04-22 12:37:03
162,corrected,nafamoso,2016-12-23 21:21:49,,,,,-123.192043,45.854834,210,,,2021-04-22 12:37:03
163,corrected,nafamoso,2016-12-23 21:29:58,,,,,-123.08894,45.858676,8507,,,2021-04-22 12:37:03
164,corrected,nafamoso,2016-07-15 18:57:49,,,,,-123.567465,45.862463,933,,,2021-04-22 12:37:03
165,corrected,nafamoso,2016-12-23 20:53:16,,,,,-123.243699,46.075621,2794,,,2021-04-22 12:37:03
166,corrected,nafamoso,2016-12-23 21:15:03,,,,,-123.219842,46.0815,210,,,2021-04-22 12:37:03
167,corrected,nafamoso,2016-12-23 21:22:18,,,,,-123.285678,46.111222,3036,,,2021-04-22 12:37:03
168,corrected,nafamoso,2016-08-05 18:02:19,,,,,-123.11548,45.789398,571,,,2021-04-22 12:37:03
169,corrected,nafamoso,2016-08-04 14:28:42,,,,,-122.93485,45.801113,60,,,2021-04-22 12:37:03
170,corrected,nafamoso,2016-07-15 19:01:49,,,,,-123.858688,46.179952,206,,,2021-04-22 12:37:03
171,corrected,nafamoso,2016-12-23 19:27:13,,,,,-123.853569,46.182833,749,,,2021-04-22 12:37:03
172,corrected,nafamoso,2016-07-15 18:42:58,,,,,-123.838046,46.188903,37,,,2021-04-22 12:37:03
173,corrected,nafamoso,2016-12-23 20:41:24,,,,,-123.832841,46.185581,70,,,2021-04-22 12:37:03
175,corrected,rbosnyak,2017-09-18 18:22:00,[Remarks: Plotted approximately 3/4 miles NE of Knappton],,,,-123.804397,46.284324,3000,"POLYGON ((-123.807791449952 46.3112100697366, -123.811160028209 46.3109026005754, -123.814477061116 46.3103927563911, -123.817717269557 46.3096844228846, -123.820855962389 46.3087829983523, -123.82386922531 46.3076953523862, -123.826734106216 46.3064297758179, -123.829428782034 46.30499590821, -123.831932736306 46.303404676494, -123.834226909157 46.3016682038937, -123.836293843903 46.2997997190009, -123.838117819798 46.2978134547025, -123.839684971381 46.2957245394767, -123.840983393505 46.293548881898, -123.84200323128 46.2913030492387, -123.842736754254 46.2890041411026, -123.843178414299 46.2866696590609, -123.843324886789 46.2843173732876, -123.843175094787 46.2819651872168, -123.842730216092 46.2796310012531, -123.841993673127 46.2773325765745, -123.84097110578 46.2750874000623, -123.83967032744 46.2729125513838, -123.83810126459 46.2708245732335, -123.836275880448 46.2688393457129, -123.834208083267 46.2669719657987, -123.831913619995 46.2652366328034, -123.829409956142 46.2636465406923, -123.826716142758 46.2622137780633, -123.82385267012 46.2609492382478, -123.820841318458 46.2598625293608, -123.817704981836 46.2589619137331, -123.814467502964 46.258254236378, -123.811153490046 46.2577448756544, -123.807788130439 46.2574377025736, -123.804397 46.2573350515156, -123.801005869561 46.2574377025736, -123.797640509954 46.2577448756544, -123.794326497036 46.258254236378, -123.791089018164 46.2589619137331, -123.787952681542 46.2598625293608, -123.78494132988 46.2609492382478, -123.782077857242 46.2622137780633, -123.779384043858 46.2636465406924, -123.776880380005 46.2652366328034, -123.774585916733 46.2669719657987, -123.772518119552 46.2688393457129, -123.77069273541 46.2708245732335, -123.76912367256 46.2729125513838, -123.76782289422 46.2750874000623, -123.766800326873 46.2773325765745, -123.766063783908 46.2796310012531, -123.765618905213 46.2819651872168, -123.765469113211 46.2843173732876, -123.765615585701 46.2866696590609, -123.766057245746 46.2890041411026, -123.76679076872 46.2913030492387, -123.767810606495 46.293548881898, -123.769109028619 46.2957245394767, -123.770676180202 46.2978134547025, -123.772500156097 46.2997997190009, -123.774567090843 46.3016682038937, -123.776861263694 46.303404676494, -123.779365217966 46.30499590821, -123.782059893784 46.3064297758179, -123.78492477469 46.3076953523862, -123.787938037611 46.3087829983523, -123.791076730443 46.3096844228846, -123.794316938884 46.3103927563911, -123.797633971791 46.3109026005754, -123.801002550048 46.3112100697366, -123.804397 46.3113128204979, -123.807791449952 46.3112100697366))",,2021-04-22 12:37:03
176,corrected,rbosnyak,2017-09-22 15:41:00,[Remarks: Plotted on north bank of Columbia River approximately 1.5 miles NE of Knappton],,,,-123.784925,46.281765,1000,"POLYGON ((-123.78605606149 46.2907270525836, -123.78717851071 46.2906245957442, -123.788283801059 46.2904547013705, -123.789363516769 46.2902186630612, -123.790409437071 46.2899182780294, -123.791413598863 46.2895558334041, -123.792368357414 46.2891340887957, -123.793266444621 46.2886562552602, -123.794101024385 46.288125970821, -123.794865744678 46.2875472727374, -123.795554789873 46.2869245686547, -123.796162910288 46.286262595448, -123.796685482476 46.2855663941491, -123.797118531769 46.2848412644556, -123.797458765383 46.2840927260655, -123.797703597388 46.2833264766376, -123.797851168287 46.2825483484038, -123.797900359049 46.281764263764, -123.797850799502 46.2809801902012, -123.797702871024 46.2802020948621, -123.79745770351 46.2794358991468, -123.797117166652 46.2786874336554, -123.796683855593 46.2779623938317, -123.79616107107 46.277266296643, -123.795552794205 46.2766044386235, -123.794863653203 46.2759818573025, -123.794098900645 46.27540328583, -123.793264353144 46.2748731280022, -123.79236636175 46.2743954172311, -123.791411759648 46.2739737878102, -123.790407810189 46.2736114472955, -123.789362151652 46.2733111521339, -123.788282739186 46.2730751867237, -123.787177784346 46.272905346063, -123.786055692705 46.2728029221184, -123.784925 46.2727686940145, -123.783794307295 46.2728029221184, -123.782672215654 46.272905346063, -123.781567260814 46.2730751867237, -123.780487848348 46.2733111521339, -123.779442189811 46.2736114472955, -123.778438240352 46.2739737878102, -123.77748363825 46.2743954172311, -123.776585646856 46.2748731280022, -123.775751099355 46.27540328583, -123.774986346797 46.2759818573025, -123.774297205795 46.2766044386235, -123.77368892893 46.277266296643, -123.773166144407 46.2779623938317, -123.772732833348 46.2786874336554, -123.77239229649 46.2794358991468, -123.772147128976 46.2802020948621, -123.771999200498 46.2809801902012, -123.771949640951 46.281764263764, -123.771998831713 46.2825483484038, -123.772146402612 46.2833264766376, -123.772391234617 46.2840927260655, -123.772731468231 46.2848412644556, -123.773164517524 46.2855663941491, -123.773687089712 46.286262595448, -123.774295210127 46.2869245686547, -123.774984255322 46.2875472727374, -123.775748975615 46.288125970821, -123.776583555379 46.2886562552602, -123.777481642586 46.2891340887956, -123.778436401137 46.2895558334041, -123.779440562929 46.2899182780294, -123.780486483231 46.2902186630612, -123.781566198941 46.2904547013705, -123.78267148929 46.2906245957442, -123.78379393851 46.2907270525836, -123.784925 46.2907612917647, -123.78605606149 46.2907270525836))",,2021-04-22 12:37:03
177,corrected,rbosnyak,2017-10-31 13:24:00,[Remarks: Plotted approximately .5 mile N of Inman-Poulsen store],,,,-123.042343,46.241936,2000,"POLYGON ((-123.044603853234 46.2598602053322, -123.046847483216 46.2596552573972, -123.049056798277 46.2593154126784, -123.051214968892 46.2588432600211, -123.053305556234 46.2582423960887, -123.055312637698 46.2575173978973, -123.057220928455 46.2566737878649, -123.059015900779 46.255717993864, -123.060683885482 46.254657291879, -123.062212188395 46.2534997618957, -123.063589179692 46.2522542191781, -123.064804384009 46.2509301486438, -123.065848560037 46.2495376325091, -123.066713770633 46.248087273397, -123.067393442936 46.2465901135019, -123.067882418027 46.2450575504274, -123.068176989771 46.243501250343, -123.068274932557 46.241933059124, -123.068175517747 46.2403649121513, -123.067879518706 46.2388087434618, -123.067389204412 46.2372763949382, -123.066708321691 46.2357795262311, -123.065842066241 46.2343295260964, -123.06479704267 46.2329374258211, -123.063581213872 46.2316138153928, -123.062203840131 46.2303687630475, -123.060675408432 46.2292117388031, -123.059007552515 46.2281515425571, -123.057212962648 46.2271962389162, -123.055305296367 46.2263530889908, -123.053299062444 46.2256285066605, -123.051209519954 46.2250280017072, -123.049052559754 46.2245561402396, -123.046844583896 46.2242165100733, -123.04460238121 46.224011693534, -123.042343 46.2239432478867, -123.04008361879 46.224011693534, -123.037841416104 46.2242165100732, -123.035633440246 46.2245561402396, -123.033476480046 46.2250280017072, -123.031386937556 46.2256285066605, -123.029380703633 46.2263530889908, -123.027473037352 46.2271962389162, -123.025678447485 46.2281515425571, -123.024010591568 46.2292117388031, -123.022482159869 46.2303687630475, -123.021104786128 46.2316138153928, -123.01988895733 46.2329374258211, -123.018843933759 46.2343295260964, -123.017977678309 46.2357795262311, -123.017296795588 46.2372763949382, -123.016806481294 46.2388087434618, -123.016510482253 46.2403649121513, -123.016411067443 46.241933059124, -123.016509010229 46.243501250343, -123.016803581973 46.2450575504274, -123.017292557064 46.2465901135019, -123.017972229368 46.248087273397, -123.018837439963 46.2495376325091, -123.019881615991 46.2509301486438, -123.021096820308 46.2522542191781, -123.022473811605 46.2534997618957, -123.024002114518 46.254657291879, -123.025670099221 46.255717993864, -123.027465071545 46.2566737878649, -123.029373362302 46.2575173978973, -123.031380443766 46.2582423960887, -123.033471031108 46.2588432600211, -123.035629201723 46.2593154126784, -123.037838516784 46.2596552573972, -123.040082146766 46.2598602053322, -123.042343 46.2599286952263, -123.044603853234 46.2598602053322))",,2021-04-22 12:37:03
178,corrected,rbosnyak,2017-10-31 13:25:00,[Remarks: Plotted approximately 2 miles above Inman-Poulsen store],,,,-123.043201,46.264251,2000,"POLYGON ((-123.045462770957 46.2821751350343, -123.047707311657 46.2819701878504, -123.049917523481 46.2816303443786, -123.052076570061 46.2811581934565, -123.054168005887 46.2805573317372, -123.056175901881 46.2798323362234, -123.058084967006 46.2789887293165, -123.059880667648 46.2780329388809, -123.061549329044 46.2769722408558, -123.063078251886 46.2758147152121, -123.064455801631 46.2745691771851, -123.065671498671 46.2732451116614, -123.066716097953 46.271852600823, -123.067581659128 46.2704022472564, -123.068261606679 46.268905093117, -123.068750779608 46.2673725359671, -123.069045470293 46.2658162419332, -123.069143452238 46.2642480568455, -123.069043996526 46.2626799160388, -123.068747876852 46.2611237535026, -123.068257363133 46.2595914110716, -123.067576203731 46.2580945483481, -123.066709596464 46.2566445540398, -123.065664148634 46.2552524593864, -123.064447826374 46.2539288543287, -123.063069893732 46.2526838070579, -123.061540841952 46.251526787549, -123.059872309494 46.2504665956586, -123.058076991763 46.2495112959668, -123.056168551854 46.2486681495271, -123.054161504404 46.2479435701999, -123.052071114668 46.2473430677407, -123.049913279937 46.2468712082363, -123.047704408902 46.2465315794847, -123.045461297189 46.2463267637994, -123.043201 46.2462583184376, -123.040940702811 46.2463267637994, -123.038697591098 46.2465315794847, -123.036488720063 46.2468712082363, -123.034330885332 46.2473430677407, -123.032240495596 46.2479435701999, -123.030233448146 46.2486681495271, -123.028325008237 46.2495112959668, -123.026529690506 46.2504665956586, -123.024861158048 46.251526787549, -123.023332106268 46.2526838070579, -123.021954173626 46.2539288543287, -123.020737851366 46.2552524593864, -123.019692403536 46.2566445540398, -123.018825796269 46.2580945483481, -123.018144636867 46.2595914110716, -123.017654123148 46.2611237535026, -123.017358003474 46.2626799160388, -123.017258547762 46.2642480568455, -123.017356529707 46.2658162419332, -123.017651220392 46.2673725359671, -123.018140393321 46.268905093117, -123.018820340872 46.2704022472564, -123.019685902047 46.271852600823, -123.020730501329 46.2732451116614, -123.021946198369 46.2745691771851, -123.023323748114 46.2758147152121, -123.024852670956 46.2769722408558, -123.026521332352 46.2780329388809, -123.028317032994 46.2789887293165, -123.030226098119 46.2798323362234, -123.032233994113 46.2805573317372, -123.034325429939 46.2811581934565, -123.036484476519 46.2816303443786, -123.038694688343 46.2819701878504, -123.040939229043 46.2821751350343, -123.043201 46.2822436246775, -123.045462770957 46.2821751350343))",,2021-04-22 12:37:03
179,corrected,rbosnyak,2017-10-31 13:31:00,[Remarks: Plotted approximately 5 miles upstream from mouth of Coal Creek],,,,-123.035529,46.229965,5000,"POLYGON ((-123.041182665811 46.2747754178989, -123.046793198802 46.2742628004277, -123.052317797602 46.2734127842684, -123.057714321113 46.2722318538057, -123.062941612138 46.2707290173521, -123.067959815623 46.2689157408233, -123.072730676559 46.2668058496067, -123.07721784268 46.2644154359037, -123.081387136852 46.2617627271615, -123.085206819238 46.2588679481339, -123.088647829134 46.2557531658613, -123.091684005834 46.2524421206312, -123.094292286895 46.248960044238, -123.09645288228 46.2453334669589, -123.098149423127 46.2415900147443, -123.099369084044 46.2377581981935, -123.100102678094 46.2338671949462, -123.100344723804 46.2299466271628, -123.100093483791 46.226026335803, -123.099350974801 46.2221361534278, -123.098122949183 46.2183056772559, -123.096418848031 46.2145640442003, -123.094251726451 46.2109397095864, -123.091638151602 46.2074602312223, -123.088598074369 46.2041520604458, -123.085154675714 46.2010403417125, -123.08133418892 46.1981487222259, -123.077165699138 46.1954991730254, -123.072680921762 46.1931118228637, -123.067913961347 46.1910048061038, -123.062901051689 46.189194127547, -123.057680286842 46.1876935337731, -123.052291323631 46.1865144224837, -123.046775089535 46.1856657467149, -123.041173471493 46.1851539501236, -123.035529 46.1849829184266, -123.029884528507 46.1851539501236, -123.024282910465 46.1856657467149, -123.018766676369 46.1865144224837, -123.013377713158 46.1876935337731, -123.008156948311 46.189194127547, -123.003144038653 46.1910048061038, -122.998377078238 46.1931118228637, -122.993892300862 46.1954991730254, -122.98972381108 46.1981487222259, -122.985903324286 46.2010403417125, -122.982459925631 46.2041520604458, -122.979419848398 46.2074602312223, -122.976806273548 46.2109397095864, -122.974639151969 46.2145640442003, -122.972935050817 46.2183056772559, -122.971707025199 46.2221361534278, -122.970964516209 46.226026335803, -122.970713276196 46.2299466271628, -122.970955321906 46.2338671949462, -122.971688915956 46.2377581981935, -122.972908576873 46.2415900147443, -122.97460511772 46.2453334669589, -122.976765713105 46.248960044238, -122.979373994166 46.2524421206312, -122.982410170867 46.2557531658613, -122.985851180762 46.2588679481339, -122.989670863148 46.2617627271615, -122.99384015732 46.2644154359037, -122.998327323441 46.2668058496067, -123.003098184377 46.2689157408233, -123.008116387862 46.2707290173521, -123.013343678887 46.2722318538057, -123.018740202398 46.2734127842684, -123.024264801198 46.2742628004277, -123.029875334189 46.2747754178989, -123.035529 46.2749467260223, -123.041182665811 46.2747754178989))",,2021-04-22 12:37:03
180,corrected,rbosnyak,2017-10-31 13:33:00,[Remarks: Plotted approximately 1.5 miles upstream from mouth of Coal Creek],,,,-123.025787,46.192249,2000,"POLYGON ((-123.028045813727 46.2101733618674, -123.030287419769 46.2099684122597, -123.032494741901 46.2096285647642, -123.034650965811 46.2091564082426, -123.036739667519 46.2085555393816, -123.038744938805 46.2078305352274, -123.040651508641 46.2069869182349, -123.042444862384 46.2060311162943, -123.044111343232 46.2049704054911, -123.045638268442 46.2038128658442, -123.047014018667 46.202567312681, -123.048228127978 46.2012432309891, -123.04927136338 46.1998507030603, -123.050135794865 46.1984003315994, -123.050814855469 46.1969031588875, -123.051303390892 46.19537058262, -123.051597698304 46.1938142690627, -123.051695554065 46.1922460641906, -123.051596230154 46.1906779034879, -123.0513004992 46.1891217210968, -123.050810628098 46.1875893590068, -123.050130360262 46.1860924769761, -123.049264886673 46.1846424638677, -123.048220805958 46.1832503510746, -123.047006073809 46.1819267286879, -123.045629942146 46.1806816650435, -123.04410288849 46.1795246302552, -123.042436533447 46.1784644264942, -123.040643563796 46.1775091118768, -123.038737616793 46.1766659541904, -123.036733190818 46.1759413651736, -123.034645531211 46.175340854667, -123.032490514532 46.1748689888283, -123.030284528077 46.1745293555117, -123.028044345577 46.1743245370711, -123.025787 46.1742560907881, -123.023529654423 46.1743245370711, -123.021289471923 46.1745293555117, -123.019083485467 46.1748689888283, -123.016928468789 46.175340854667, -123.014840809182 46.1759413651736, -123.012836383207 46.1766659541904, -123.010930436204 46.1775091118768, -123.009137466553 46.1784644264942, -123.00747111151 46.1795246302552, -123.005944057854 46.1806816650435, -123.004567926191 46.1819267286878, -123.003353194042 46.1832503510746, -123.002309113327 46.1846424638677, -123.001443639738 46.1860924769761, -123.000763371902 46.1875893590068, -123.0002735008 46.1891217210968, -122.999977769846 46.1906779034879, -122.999878445935 46.1922460641906, -122.999976301696 46.1938142690627, -123.000270609108 46.19537058262, -123.000759144531 46.1969031588875, -123.001438205135 46.1984003315994, -123.00230263662 46.1998507030603, -123.003345872022 46.2012432309891, -123.004559981333 46.202567312681, -123.005935731558 46.2038128658442, -123.007462656768 46.2049704054911, -123.009129137616 46.2060311162943, -123.010922491359 46.2069869182349, -123.012829061195 46.2078305352274, -123.014834332481 46.2085555393816, -123.016923034189 46.2091564082426, -123.019079258099 46.2096285647642, -123.021286580231 46.2099684122597, -123.023528186273 46.2101733618674, -123.025787 46.2102418523201, -123.028045813727 46.2101733618674))",,2021-04-22 12:37:03
