locationID,decimalLongitude_x,decimalLatitude_x,coordinateUncertaintyInMeters,continent,country,stateProvince,county,locality ,georeferenceRemarks
42,-123.957752,44.590522,1911,North America,USA,Oregon,Lincoln,4 miles east of Yaquina City,
50,-120.156025,35.43626,969,North America,USA,California,San Luis Obispo,"North side of sec 4, T 29 S, R 17 E, About 1 1/4 miles east of San Juan Creek",Standard uncertainty of 969 meters based on GeoLocate error measurement for one half section.
60,-120.133432,35.345043,969,North America,USA,California,San Luis Obispo,"Sec 3, T 30 S, R 17 E",Standard uncertainty of 969 meters based on GeoLocate error measurement for one half section.
62,-120.160054,35.428959,549,North America,USA,California,San Luis Obispo,"SW 1/4 of Sec 4, T 29 S, T 17 E",Standard uncertainty of 550 meters based on GeoLocate error measurement for one quarter section.
76,-120.5705,34.9141,1000,North America,USA,California,Santa Barbara,At Waldorf Asphalt mine in the hills 4 or 5 miles south of Guadalupe,
77,-120.5141,34.8762,250,North America,USA,California,Santa Barbara,In the railroad cut one mile north of Schumann Station or about six or seven miles south of Guadalupe,
78,-120.43572,34.95303,,North America,USA,California,Santa Barbara,100 yards due west and across the canyon from the Santa Maria Oil and Gas Company well No. 4,Based on SANTA MARIA
80,-120.45794,34.63915,,North America,USA,California,Santa Barbara,about five miles southwest of Lompoc,Based on LOMPOC
81,-120.53989,34.53999,,North America,USA,California,Santa Barbara,3 miles north of Sudden,Based on SUDDEN
82,-119.66667,34.51667,,North America,USA,California,Santa Barbara,"immediately southwest of Porter Hotel, Santa Barbara",Based on (g1)SANTA BARBARA
83,-119.66667,34.51667,,North America,USA,California,Santa Barbara,Packard Hill immediately southwest of Santa Barbara,Based on (g1)SANTA BARBARA
84,-119.29317,34.27834,,North America,USA,California,Ventura,3 mi E of Ventura,Based on VENTURA
85,-119.0831,34.42184,,North America,USA,California,Ventura,North of Sisar Creek and west of Santa Paula Creek,Based on (g1)Santa Paula Creek->snapped to Santa Paula Creek
86,-118.98121,34.43916,,North America,USA,California,Ventura,Mt San Cayetano,
87,-118.95038,34.4,,North America,USA,California,Ventura,Sespe Canyon,Based on SESPE
88,-118.7562,34.44111,,North America,USA,California,Ventura,five miles northeast of Camulos Station,Based on HOLSER CANYON
89,-118.79704,34.38916,,North America,USA,California,Ventura ,4.25 miles south of Piru,Based on TORREY CANYON
90,-118.79704,34.38916,,North America,USA,California,Ventura ,approximately one mile south of the head of Torrey Canyon,Based on TORREY CANYON
91,-118.29229,33.73585,,North America,USA,California,Los Angeles,San Pedro. 0.25 of a mile north of the Southern Pacific Railroad depot.,Based on SAN PEDRO
92,-118.291,33.735,,North America,USA,California,Los Angeles,Deadman's Island San Pedro.,Based on (g1)San Pedro
93,-118.291,33.735,,North America,USA,California,Los Angeles,Deadman's Island San Pedro.,Based on (g1)San Pedro
94,-118.291,33.735,,North America,USA,California,Los Angeles,Deadman's Island San Pedro.,Based on (g1)San Pedro
95,-118.291,33.735,,North America,USA,California,Los Angeles,San Pedro. Across the channel from Deadman's island.,Based on (g1)San Pedro
96,-118.291,33.735,,North America,USA,California,Los Angeles,Deadman's Island San Pedro.,Based on (g1)San Pedro
97,-118.291,33.735,,North America,USA,California,Los Angeles,"Crawfish George's, San Pedro",Based on (g1)San Pedro
98,-118.37056,33.77361,,North America,USA,California,Los Angeles,San Pedro. corner of Seventh and Palos Verdes Streets,Based on (g1)Palos Verdes
99,-118.291,33.735,,North America,USA,California,Los Angeles,San Pedro. San Pedro Bluffs,Based on (g1)San Pedro
100,-117.59033,33.66252,,North America,USA,California,Orange,about six miles southeast of El Toro.,Based on TRABUCO CANYON
116,-124.391751,40.471507,200,North America,USA,California,Humboldt,Bear River. On the ocean cliff 300 yards south of the mouth of Bear River or about 1.5 miles north of Cape Mendocino,
119,-124.087835,40.500446,100,North America,USA,California,Humboldt,"Scotia.  On east bank of Eel River north of Nanning Creek, 1.25 miles north of Scotia. ",
120,-123.976354,40.445262,500,North America,USA,California,Humboldt,Shively. On east bank of Eel River one mile north of Shively at railroad tunnel,Large uncertainty due to vauge desciption
121,-123.959552,40.413381,500,North America,USA,California,Humboldt,Shively.  On the north bank of Eel River 1.25 miles southeast of Shively at west end of tunnel,Large uncertainty due to vauge desciption
124,-124.110895,41.021789,200,North America,USA,California,Humboldt,On the coast a few hundred yards north of Little River or about 3.5 miles south of Trinidad,
125,-120.379331,35.456894,270,North America,USA,California,San Luis Obispo,San Luis Obispo,Standard uncertainty of 270 meters based on GeoLocate error measurement for two quarter sections.
126,-120.346007,35.447742,968,North America,USA,California,San Luis Obispo,San Luis Obispo,Standard uncertainty of 969 meters based on GeoLocate error measurement for one section.
127,-120.423505,35.464306,269,North America,USA,California,San Luis Obispo,San Luis Obispo,Standard uncertainty of 270 meters based on GeoLocate error measurement for two quarter sections.
128,-120.452239,35.476521,968,North America,USA,California,San Luis Obispo,San Luis Obispo,Standard uncertainty of 969 meters based on GeoLocate error measurement for one section.
140,-121.317748,36.195442,550,North America,USA,California,San Luis Obispo,1 and ¼ to 1 and ½ miles south of Lea Ranch House,Standard uncertainty of 550 meters based on GeoLocate error measurement for one quarter section.
146,-120.13556,35.353989,270,North America,USA,California,San Luis Obispo,San Luis Obispo,Standard uncertainty of 270 meters based on GeoLocate error measurement for two quarter sections.
151,-123.296764,44.314012,1133,North America,USA,Oregon,Benton,,
155,-122.629319,39.98008,1800,North America,USA,California,Tehama,Elder Creek,Uncertainty radius encompasses both sections.
160,-123.338554,45.68911,975,North America,USA,Oregon,Washington,,
161,-123.252724,45.986296,969,North America,USA,Oregon,Columbia,,TRS is not 1 mile south of Mist
162,-123.192043,45.854834,210,North America,USA,Oregon,Columbia,,
163,-123.08894,45.858676,8507,North America,USA,Oregon,Columbia,,
164,-123.567465,45.862463,933,North America,USA,Oregon,Clatsop,,
165,-123.243699,46.075621,2794,North America,USA,Oregon,Columbia,,
166,-123.219842,46.0815,210,North America,USA,Oregon,Columbia,,
167,-123.285678,46.111222,3036,North America,USA,Oregon,Columbia,,
168,-123.11548,45.789398,571,North America,USA,Oregon,Columbia,,
169,-122.93485,45.801113,60,North America,USA,Oregon,Columbia,,
170,-123.858688,46.179952,206,North America,USA,Oregon,Clatsop,,
171,-123.853569,46.182833,749,North America,USA,Oregon,Clatsop,,
172,-123.838046,46.188903,37,North America,USA,Oregon,Clatsop,,
173,-123.832841,46.185581,70,North America,USA,Oregon,Clatsop,,
175,-123.804397,46.284324,3000,North America,USA,Washington,Pacific,,[Remarks: Plotted approximately 3/4 miles NE of Knappton]
176,-123.784925,46.281765,1000,North America,USA,Washington,Pacific,,[Remarks: Plotted on north bank of Columbia River approximately 1.5 miles NE of Knappton]
177,-123.042343,46.241936,2000,North America,USA,Washington,Cowlitz,,[Remarks: Plotted approximately .5 mile N of Inman-Poulsen store]
178,-123.043201,46.264251,2000,North America,USA,Washington,Cowlitz,,[Remarks: Plotted approximately 2 miles above Inman-Poulsen store]
179,-123.035529,46.229965,5000,North America,USA,Washington,Cowlitz,,[Remarks: Plotted approximately 5 miles upstream from mouth of Coal Creek]
180,-123.025787,46.192249,2000,North America,USA,Washington,Cowlitz,,[Remarks: Plotted approximately 1.5 miles upstream from mouth of Coal Creek]
181,-122.879348,46.420953,3000,North America,USA,Washington,Lewis,"Approx 4 mi E of Vader, E bank of Cowlitz River, just back of the Greeco = Gries ranch house (CAS 181, UW 329, 330). See also CAS Locality 73756 (NP 301)",[Remarks: Plotted approximately 4 miles E of Vader]
182,-122.9378,46.4086,1000,North America,USA,Washington,Lewis,,[Remarks: Plotted according to TRS information. Near Cowlitz River and Vader]
183,-122.9378,46.4086,1000,North America,USA,Washington,Lewis,"In the W bank of the Cowlitz River, about 1.75 mi SE of Vader (Little Falls). At and several hundred feet below bend",[Remarks: Plotted according to TRS information. Near Cowlitz River and Vader]
184,-122.965709,46.412681,1000,North America,USA,Washington,Lewis,,[Remarks: Plotted on Olequa Creek approximately 1 mile N of junction of Olequa Creek and Stillwater Creek]
185,-122.952859,46.387217,2000,North America,USA,Washington,Lewis,,[Remarks: Unable to find sawmill. Plotted just south of Vader on north bank of Olequa Creek]
186,-123.9433,46.619049,3000,North America,USA,Washington,Pacific,,[Remarks: Plotted 1 mile SE of Bay Center]
187,-123.627749,46.644469,1000,North America,USA,Washington,Pacific,,"[Remarks: Plotted approximately 1.5 miles E of Mill Creek junction with Willapa River, north of Menlo]"
188,-123.613222,46.586618,2500,North America,USA,Washington,Pacific,,[Remarks: Plotted approximately 1 mile N and slightly E of Holcomb]
189,-123.030736,46.750179,1000,North America,USA,Washington,Lewis,,[Remarks: Unable to locate Lincoln Creek town. Plotted at mouth of Lincoln Creek off of Chehalis River]
199,-123.623861,46.981196,5000,North America,USA,Washington,Grays Harbor,,[Remarks: Plotted approximately 1 mile W of Montesano]
200,-123.606836,46.997667,1500,North America,USA,Washington,Grays Harbor,,[Remarks: Plotted approximately 6 miles N of Montesano on Sylvia Creek]
201,-123.760943,47.147916,2000,North America,USA,Washington,Grays Harbor,,[Remarks: Plotted approximately 2 miles N of Wishkah according to GeoLocate on the east bank of the Wishkah River]
207,-123.808255,46.996742,5000,North America,USA,Washington,Grays Harbor,,[Remarks: Plotted approximately 1.5 miles NE of Aberdeen. Could not locate RR here]
210,-124.231394,48.257948,1000,North America,USA,Washington,Clallam,,Marker placed 1 mi E of Slip Point along shoreline. Uncertainty radius accounts for error in measurement.
213,-123.964943,48.164807,500,North America,USA,Washington,Clallam,,Marker placed by GeoLocate .5 mi W of Twin. Uncertainty radius accounts for error in measurement.
214,-123.912036,48.159287,800,North America,USA,Washington,Clallam,,Marker placed 2 mi E of Twin along shoreline. Uncertainty radius accounts for error in measurement.
215,-123.610127,48.137638,800,North America,USA,Washington,Clallam,,"Marker placed 1.5 mi. SE of Observatory Point. ""Observation"" Point interpreted to be ""Observation"" Point. Uncertainty radius accounts for error in measurement."
216,-123.602166,48.13655,900,North America,USA,Washington,Clallam,,Marker placed 3/8 mi. E of approximate location of CASG 215. Uncertainty radius encompasses surrounding area.
218,-122.881444,48.041703,10000,North America,USA,Washington,Jefferson,,[Remarks: Plotted on west side of Discovery Bay approximately 4.5 miles north of the southernmost end of the bay]
219,-122.830289,48.011682,5000,North America,USA,Washington,Jefferson,,[Remarks: Plotted east of Discovery Bay approximately 3.5 miles north of southernmost point of bay]
225,-122.290957,47.507044,5000,North America,USA,Washington,King,,"[Remarks: Plotted in Duwamish, unable to locate station]"
226,-122.290957,47.507044,5000,North America,USA,Washington,King,,"[Remarks: Plotted in Duwamish, unable to locate station]"
235,-122.022722,48.101533,1100,North America,USA,Washington,Snohomish,,[Remarks: Plotted according to TRS]
236,-122.098185,47.869454,6500,North America,USA,Washington,Snohomish,,"[Remarks: Plotted according to GeoLocate, 3 miles south of Snohomish]"
237,-123.058254,44.031583,11376,North America,USA,Oregon,Lane,,
238,-123.058896,44.03757,1035,North America,USA,Oregon,Lane,,
239,-123.025395,44.023647,1986,North America,USA,Oregon,Lane,,
241,-123.81062,48.097432,600,North America,USA,Washington,Clallam,,Marker placed .25 mi NW of Crescent. Uncertainty radius accounts for error in measurement.
242,-123.221551,46.090983,3648,North America,USA,Oregon,Columbia,,
243,-124.345673,43.346222,995,North America,USA,Oregon,Coos,,
247,-118.50592,34.36417,,North America,USA,California,Los Angeles,Near the head of Elsmere Canyon,Based on ELSMERE CANYON
248,-121.869431,39.207138,489,North America,USA,California,Sutter ,Marysville Buttes,"Marker placed in center of Fig Tree Gl., approximately 1/8 mi. E of dirt road. Uncertainty encompasses entire gulch."
251,-118.95038,34.4,,North America,USA,California,Ventura,Sespe Canyon,Based on SESPE
260,-121.852742,37.937511,270,North America,USA,California,Contra Costa,One mile south of Stewartsville,Standard uncertainty of 270 meters based on GeoLocate error measurement for two quarter sections.
268,-120.345209,36.289249,969,North America,USA,California,Fresno,9 miles N. of Coalinga,Standard uncertainty of 969 meters based on GeoLocate error measurement for one section.
271,-120.45794,34.63915,,North America,USA,California,Santa Barbara,5 miles SW of Lompoc,Based on LOMPOC
282,-120.715127,36.059418,969,North America,USA,California,Fresno,"South of Alcalde, Coalinga Dist.",Standard uncertainty of 969 meters based on GeoLocate error measurement for one section.
286,-120.405949,36.077835,60,North America,USA,California,Fresno,Fresno,Standard uncertainty of 60 meters based on GeoLocate error measurement for the center of one quarter section.
307,-119.66667,34.51667,,North America,USA,California,Santa Barbara,4 miles south of Lompoc,Based on (g1)SANTA BARBARA
314,-118.63842,34.15778,,North America,USA,California,Los Angeles,Calabasas quadrangle,Based on CALABASAS
358,-120.397743,36.053024,550,North America,USA,California,Fresno,Fresno,Standard uncertainty of 550 meters based on GeoLocate error measurement for one quarter section.
359,-120.369475,36.086018,969,North America,USA,California,Kings,Kettleman Hills,Standard uncertainty of 969 meters based on GeoLocate error measurement for one section.
361,-118.77843,34.27389,,North America,USA,California,Ventura,South of Simi Wells in canyon,Based on SIMI
362,-122.18775,37.83159,,North America,USA,California,Ventura,"East of Topo Canyon, third canyon",Based on CANYON
363,-122.18775,37.83159,,North America,USA,California,Ventura,East fork of Topo Canyon,Based on CANYON
364,-118.613777,34.314259,969,North America,USA,California,Los Angeles,"Aliso Creek, near Chatsworth, Los Angeles County",Standard uncertainty of 969 meters based on GeoLocate error measurement for one section.
372,-118.662821,34.314964,969,North America,USA,California,Los Angeles,"3-1/2 miles NE of Santa Susana, North side of Simi Valley",Standard uncertainty of 969 meters based on GeoLocate error measurement for one section.
373,-118.63842,34.15778,,North America,USA,California,Los Angeles,2 miles South of Santa Susana,Based on CALABASAS
374,-117.75322,33.51045,,North America,USA,California,Orange,Aliso Creek,Based on ALISO CREEK->snapped to Aliso Creek
391,-118.63842,34.15778,,North America,USA,California,Ventura,,Based on CALABASAS
392,-122.18775,37.83159,,North America,USA,California,Los Angeles,"On ridge crest, 2100 ft. elevation at head of Los Virgenes Canyon",Based on CANYON
393,-118.623884,34.315845,270,North America,USA,California,Los Angeles,In west bank of Aliso Canyon of Devil's Creek,Standard uncertainty of 270 meters based on GeoLocate error measurement for two quarter sections.
394,-122.18775,37.83159,,North America,USA,California,Los Angeles,On flat divide between trunk canyon of Los Virgenes Canyon and unnamed stream,Based on CANYON
395,-118.63842,34.15778,,North America,USA,California,Los Angeles,Simi Hills crest at head of tributary of Los Virgenes Canyon,Based on CALABASAS
396,-118.70898,34.27167,,North America,USA,California,Los Angeles,Santa Susana,Based on SANTA SUSANA
397,-118.70898,34.27167,,North America,USA,California,Los Angeles,150 yds SW of Maier Ranch house,Based on SANTA SUSANA
398,-118.70898,34.27167,,North America,USA,California,Los Angeles,about 2.75 miles SW of Santa Susana on ridge .25 miles NE of Calabasas Oil well,Based on SANTA SUSANA
399,-118.70898,34.27167,,North America,USA,California,Los Angeles,about 2.75 miles SW of Santa Susana on ridge .25 mile E of Calabasas Oil,Based on SANTA SUSANA
400,-118.70898,34.27167,,North America,USA,California,Los Angeles,"Simi Hills, S of 961 foot Bench Mark at Santa Susana, 3.375 miles",Based on SANTA SUSANA
401,-118.70898,34.27167,,North America,USA,California,Los Angeles,2.625 miles S of 961 foot Bench Mark at Santa Susana,Based on SANTA SUSANA
402,-120.36015,36.13968,,North America,USA,California,Los Angeles,Coalinga District,Based on COALINGA
404,-118.70898,34.27167,,North America,USA,California,Los Angeles,2 miles SW of Santa Susana,Based on SANTA SUSANA
405,-118.70898,34.27167,,North America,USA,California,Los Angeles,"3.75 miles S, 22° W of 961 foot Bench Mark at Santa Susana",Based on SANTA SUSANA
406,-121.769398,39.204991,1500,North America,USA,California,Sutter,Marysville Buttes. 2.75 miles east of South Butte. ,Interpreted to be a Sutter Butte locality. Marker set at point 2.75 mi. E. of South Butte. Uncertainty radius encompasses surrounding known fossiliferous areas.
422,-118.70898,34.27167,,North America,USA,California,Ventura,3 miles south west of Santa Susana,Based on SANTA SUSANA
423,-118.70898,34.27167,,North America,USA,California,Ventura,2.5 miles southwest of Santa Susana,Based on SANTA SUSANA
446,-122.654164,42.153583,7380,North America,USA,Oregon,Jackson,"4 mi SE of Ashland, Clawson quarries.",
450,-119.255262,35.050976,550,North America,USA,California,Sonoma,Lynch Creek,Standard uncertainty of 550 meters based on GeoLocate error measurement for one quarter section.
451,-122.18775,37.83159,,North America,USA,California,Los Angeles ,#40 near center line NE1/4  Sec. 15 (22-11) N of Bordenplace in Sargaent Canyon; Preist Valley Quad. #39 1000' S and 500' E of NW Corner Sec. 8 (22-11) 75 degrees below top of ridge S of Pancho Rico Ck ,Based on CANYON
470,-120.349598,36.256634,550,North America,USA,California,,California,Standard uncertainty of 550 meters based on GeoLocate error measurement for one quarter section.
471,-120.349598,36.256634,550,North America,USA,California,Fresno,9 miles North of Coalinga,Standard uncertainty of 550 meters based on GeoLocate error measurement for one quarter section.
485,-118.87537,34.80137,,North America,USA,California,Los Angeles,North side of Oso Creek,
489,-120.329078,36.089737,550,North America,USA,California,Fresno,Coalinga District,Standard uncertainty of 550 meters based on GeoLocate error measurement for one quarter section.
490,-123.934578,45.658161,210,North America,USA,Oregon,Tillamook,,
495,-118.291,33.735,,North America,USA,California,Los Angeles,Deadman's Island,Based on (g1)San Pedro
505,-120.310154,36.304596,969,North America,USA,California,Fresno,Fresno Co.,Standard uncertainty of 969 meters based on GeoLocate error measurement for one section.
507,-120.327471,36.231445,969,North America,USA,California,Fresno,Fresno Co.,Standard uncertainty of 969 meters based on GeoLocate error measurement for one section.
508,-120.383908,36.086208,969,North America,USA,California,Fresno,Fresno Co.,Standard uncertainty of 969 meters based on GeoLocate error measurement for one half section.
514,-120.248469,36.133728,550,North America,USA,California,Fresno,North of Alcade,Standard uncertainty of 550 meters based on GeoLocate error measurement for one quarter section.
525,-120.498658,36.304184,969,North America,USA,California,,California,Standard uncertainty of 969 meters based on GeoLocate error measurement for one section.
526,-120.486953,36.201935,969,North America,USA,California,Fresno,North of Alcade,Standard uncertainty of 969 meters based on GeoLocate error measurement for one half section.
528,-120.369524,36.111172,969,North America,USA,California,Fresno,Coalinga,Standard uncertainty of 969 meters based on GeoLocate error measurement for one half section.
530,-120.367702,36.249283,550,North America,USA,California,Fresno,"Coalinga, Fresno, California",Standard uncertainty of 550 meters based on GeoLocate error measurement for one quarter section.
531,-120.369293,36.056744,969,North America,USA,California,Fresno,North of Coalinga,Standard uncertainty of 969 meters based on GeoLocate error measurement for one section.
532,-120.381789,36.23098,969,North America,USA,California,Fresno,Coalinga,Standard uncertainty of 969 meters based on GeoLocate error measurement for one section.
533,-120.39104,36.056683,969,North America,USA,California,Fresno,Coalinga,Standard uncertainty of 969 meters based on GeoLocate error measurement for one section.
541,-118.75676,34.40666,,North America,USA,California,Ventura,Southeast of Simi,Based on CAMULOS
545,-118.77843,34.27389,,North America,USA,California,Ventura,near Simi Wells,Based on SIMI
546,-122.855237,38.509103,1000,North America,USA,California,Sonoma,Wilson Ranch,Interpreted to be a Wilson Grove locality. Marker placed 1 mi. N. of Trenton at Mark West Creek. Uncertainty encompasses surrounding known fossiliferous areas. Does not match UCMP A598.
549,-118.5652454,34.31633912,800,North America,USA,California,Los Angeles,West of Aliso Canyon (west) South side Santa Susana Mts.,
550,-118.60092,34.33333,,North America,USA,California,Los Angeles,Aliso Canyon (west) South side Santa Susana Mts.,Based on SANTA SUSANA MOUNTAINS
552,-118.72954,34.80415,,North America,USA,California,Los Angeles,North side of Oso Canon in a small side canon about 2.5 miles North of West end of Quail Lake,Based on OSO CANYON
559,-118.5075,34.00194,,North America,USA,California,Los Angeles,"from base of Pliocene, Temescal Cañon",Based on (g1)Santa Monica
567,-118.5075,34.00194,,North America,USA,California,Los Angeles,about three miles south of Calabasas,Based on (g1)Santa Monica
568,-120.5141,34.8762,250,North America,USA,California,Santa Barbara,".75 mi. North east of Schuman, Santa Barbara Co",
586,-122.753501,48.031843,2000,North America,USA,Washington,Jefferson,,[Remarks: Plotted approximately 1/4 mile E of Port Hadlock]
587,-122.964018,46.662048,4000,North America,USA,Washington,Chehalis,,[Remarks: Plotted at Chehalis]
604,-123.320822,46.951521,1000,North America,USA,Washington,Grays Harbor,,[Remarks: Plotted approximately 1/4 mile NW of Porter Station according to Lat/Long information from UWBM 160]
606,-120.45794,34.63915,,North America,USA,California,Santa Barbara,About 5 miles South of Lompoc,Based on LOMPOC
609,-123.150843,45.900846,1123,North America,USA,Oregon,Columbia,,
610,-123.535872,45.895602,969,North America,USA,Oregon,,,
611,-123.814868,46.276494,3000,North America,USA,Washington,Pacific,,[Remarks: Unable to locate mill. Plotted at Knappton]
612,-123.190946,45.703203,5241,North America,USA,Oregon,Washington,,
613,-123.034697,46.764574,1000,North America,USA,Washington,Lewis,,[Remarks: Plotted according to TRS information although this is not at Lincoln Creek]
695,-118.35369,34.07862,,North America,USA,California,Los Angeles,,Based on LA BREA
702,-121.83995,37.24883,,North America,USA,California,Ventura,,Based on SANTA CLARA VALLEY
703,-121.33996,39.14517,,North America,USA,California,Ventura,,Based on LONE TREE
704,-118.79704,34.38916,,North America,USA,California,Ventura,,Based on TORREY CANYON
705,-119.29317,34.27834,,North America,USA,California,Ventura,,Based on VENTURA
706,-118.83065,34.38222,,North America,USA,California,Ventura,,Based on WILEY CANYON
707,-118.91982,34.37139,,North America,USA,California,Ventura,,Based on GRIMES CANYON
708,-118.24091,34.51944,,North America,USA,California,Los Angeles,,Based on MISSION
709,-118.5450281,34.3135177,400,North America,USA,California,Los Angeles,,
710,-118.50592,34.36417,,North America,USA,California,Los Angeles,,Based on ELSMERE CANYON
721,-119.13906,34.37049,,North America,USA,California,Ventura,,
722,-119.13906,34.37049,,North America,USA,California,Ventura,,
723,-118.75676,34.40666,,North America,USA,California,Ventura,,Based on CAMULOS
724,-118.75676,34.40666,,North America,USA,California,Ventura,,Based on CAMULOS
725,-118.75676,34.40666,,North America,USA,California,Ventura,1 mi N of Camulos,Based on CAMULOS
726,-118.79398,34.41527,,North America,USA,California,Ventura,,Based on PIRU
727,-117.90909,33.60862,,North America,USA,California,Orange,,Based on (g1)Newport Bay->snapped to Newport Bay
728,-117.67338,33.77446,,North America,USA,California,Orange,,Based on BLACK STAR COAL MINE
729,-117.86783,33.74557,,North America,USA,California,Orange,,Based on SANTA ANA
730,-117.86783,33.74557,,North America,USA,California,Orange,,Based on SANTA ANA
731,-123.77474,39.57738,,North America,USA,California,Orange,,Based on NEWPORT
734,-117.60283,33.70363,,North America,USA,California,Orange,,Based on SANTIAGO CANYON
735,-117.60283,33.70363,,North America,USA,California,Orange,,Based on SANTIAGO CANYON
736,-117.60283,33.70363,,North America,USA,California,Orange,,Based on SANTIAGO CANYON
737,-117.86783,33.74557,,North America,USA,California,Orange,,Based on SANTA ANA
738,-118.78148,34.26945,,North America,USA,California,Ventura,,Based on SIMI VALLEY
